entity_type,entity_id,pattern_strength,transmission_strength,impact_strength,capture_risk,independent_verification_level,institutional_self_interest,assessment_basis,review_status
case,CASE_NGO_OXFAM_2026,high,high,medium,high,low,high,Transmissie: NGO Monitor -> Telegraaf -> VVD+PVV Kamervragen -> kabinet. Patroon: herhaald over meerdere jaren. Impact: officiele non-confirmatie maar geen onafhankelijk onderzoek. Overheid is donor en beleidsverantwoordelijke.,draft
case,CASE_ALMEZAN_2020,high,high,medium,high,low,high,Transmissie: NGO Monitor -> Joods.nl+Telegraaf -> PVV Kamervragen -> CIDI publicatie. Getrianguleerd via ELSC-rapport. Geen rechterlijke toets. Bevestigingsronde langs betrokken media niet uitgevoerd.,needs_source_verification
case,CASE_UAWC_DEFUNDING,medium,medium,medium,high,low,high,Transmissie deels gedocumenteerd via TRF/ELSC. Impact op NL-financiering onduidelijk. Overheid is donor en heeft inherent belang bij due-diligence beeld.,draft
case,CASE_CESTMOCRO_2023,medium,high,medium,medium,low,high,"Transmissie: CIDI -> NOS + CIDI->kabinet. Geen rechterlijke uitspraak. CIDI is zowel klager als bron. Patroon: losse case, geen herhaling over meerdere instanties.",draft
case,CASE_SCHOOLBOOK_2015,low,low,low,low,low,low,"Eenmalige campagne Likoed -> ThiemeMeulenhoff. Geen zichtbaar beleidseffect, geen media-amplificatie buiten eigen kanaal, geen politieke opvolging.",draft
case,CASE_SCHOOLBOOK_2019,low,low,low,low,low,low,Eenmalige campagne Likoed -> Noordhoff via Jonet. Identiek patroon aan 2015 maar separaat. Geen correctie-effect zichtbaar in dataset.,draft
case,CASE_HU_CIDI_2024,medium,high,high,medium,low,medium,Transmissie: CIDI -> Telegraaf -> GeenStijl -> Yesilgoz+VdPlas+Omtzigt -> HU. Impact: uitstel collegereeks + politieke druk. Rapportage primair via HOP/NOS. CIDI-veiligheidsframe niet onafhankelijk geverifieerd.,draft
case,CASE_IAF_CAUCUS_2013,medium,medium,high,low,high,medium,Netwerkvorming IAF/IIACF Nederland caucus. Bron: IAF zelf + Jonet. Impact: structurele parlementaire infrastructuur sinds 2013. Onafhankelijk verifieerbaar via open kamerledenregistraties.,draft
case,CASE_CESTMOCRO_BAN_2024,low,low,low,medium,medium,medium,"Eenmalige publieke uitspraak Caroline van der Plas. Geen Kamervraag of wetsvoorstel. Villamedia-rapportage bevestigt. Lage transmissie, geen verdere institutionele opvolging.",draft
case,CASE_IAF_EU_OFFICE,low,low,low,low,high,medium,"IAF Europe opent kantoor in Nederland. Zelfrapportage via IAF-website. Geen directe lobby-edges of parlementaire impact in dataset. Organisatorische voetafdruk, geen transmissiecase.",draft
claim,C1,high,high,,medium,low,,"Antisemitismeframing als terugkerend patroon gedocumenteerd door ELSC over 2015-2020. Herkenbaar in meerdere cases (HU, CestMocro, Al Mezan). Geen onafhankelijke rechterlijke toets per incident.",draft
claim,C2,high,high,,high,low,,"Terror-link framing herhaald over meerdere cases (Oxfam, Al Mezan, UAWC). Transmissie via NGO Monitor -> media -> Kamervragen. Geen onafhankelijke bevestiging van inhoudelijke claims.",draft
claim,C3,high,medium,,medium,low,,Karaktermoord-frame gedocumenteerd door TRF over meerdere publicaties. Patroon herkenbaar maar bron is zelf betrokken partij (TRF). Transmissie naar mainstream media beperkt.,draft
claim,C4,medium,high,,medium,low,,Veiligheidsframe door CIDI in HU-case. Transmissie via NOS/HOP. CIDI is zowel klager als framebron. Geen externe verificatie van veiligheidsclaim. Patroonherhaling over meerdere CIDI-interventies.,draft
claim,C5,high,high,,high,low,,Subsidie- en fondsendruk als terugkerend patroon gedocumenteerd door ELSC. Zichtbaar in UAWC-case. Overheid is donor en doelwit van druk. Herhaald patroon over meerdere jaren en cases.,draft
claim,C6,medium,medium,,high,low,,Schijn van onafhankelijke expertise rond NGO Monitor. NRC-artikel + NGO Monitor-rebuttal. Beide partijen betwisten elkaars positie. Geen onafhankelijke derde partij die oordeelt.,draft
claim,C7,high,medium,,medium,low,,"Chilling effect als impactmechanisme gedocumenteerd door ELSC. Meetbaar via afgezegde events (HU-case). Lastig direct te bewijzen want effect is zelfcensuur, dus per definitie deels onzichtbaar.",draft
claim,C8,high,high,,high,low,,NGO Monitor Oxfam/DRA terror-link claim. Volledige transmissieketen: rapport -> Telegraaf -> VVD+PVV Kamervragen -> kabinet. Overheid is donor en reageert met non-confirmatie + due-diligence assertion.,draft
claim,C9,high,high,,high,low,,Al Mezan terror-link claim. Transmissie via Joods.nl + Telegraaf -> PVV -> CIDI publicatie. Gedocumenteerd door ELSC. Transmissieroute gereconstrueerd maar niet per artikel geverifieerd.,needs_source_verification
claim,C10,medium,medium,,high,low,,UAWC terror-link claim. Transmissie deels gedocumenteerd via TRF/ELSC. Impact op NL-financiering niet direct aangetoond. Patroon vergelijkbaar met C8/C9 maar minder volledige keten.,draft
claim,C11,medium,high,,medium,low,,"CIDI aangifte CestMocro wegens haatzaaien. Strafrechtelijke aangifte, geen rechterlijke uitspraak. Transmissie via NOS. CIDI is klager en enige bron van de claim.",draft
claim,C12,low,low,,low,low,,"Schoolboek-antisemitism claim door Likoed. Twee campagnes (2015, 2019). Inhalige toets niet onafhankelijk uitgevoerd. Geen bekend correctie-effect. Lage transmissie buiten eigen kanalen.",draft
claim,C13,medium,high,,medium,low,,"CIDI veiligheidsframe in HU-case. Transmissie via Telegraaf -> GeenStijl -> politici. Impact meetbaar (uitstel). Veiligheidsclaim uitsluitend van CIDI, niet extern geverifieerd. Patroon herkenbaar uit eerdere CIDI-interventies.",draft
claim,C14,low,low,,low,low,,Wierd Duk 'Palestinisering'-frame. Eenmalige opinie-uiting. Geen transmissie naar politiek of beleid. Relevant als indicator van discours maar geen campagnepatroon.,draft
claim,C15,medium,medium,,medium,low,,"Antizionisme = antisemitisme frame. Breder discours-frame, niet case-specifiek. Herkenbaar in CIDI-communicatie en Bart Schut-publicaties. Moeilijk te kwantificeren want discours-frame, geen incident.",draft
