source,target,edge_type,relation_label,evidence_status,confidence,weight,date_range,source_ids,risk_flags,notes,epistemic_role,adjudication_status
ELSC,CIDI,COUNTER_DOCUMENTATION,ELSC identifies CIDI among Dutch Israel-advocacy actors in suppression incidents,source_claim,medium,4,2015-2020,S_ELSC_2021,contested_claim,"Use as ELSC claim, not court finding",evidence_of_public_relation,not_adjudicated
ELSC,NGO_MONITOR,COUNTER_DOCUMENTATION,ELSC maps external Israeli-source disinformation/dossier amplification pattern,source_claim,medium,4,2015-2020,S_ELSC_2021,contested_claim,NGO Monitor contests such characterisations,evidence_of_public_relation,not_adjudicated
ELSC,TELEGRAAF,COUNTER_DOCUMENTATION,ELSC classifies right-wing media outlets as enabling actors/amplifiers,source_claim,medium,3,2015-2020,S_ELSC_2021,media_generalization,Publication-specific edges required for stronger claim,evidence_of_public_relation,not_adjudicated
ELSC,EW,COUNTER_DOCUMENTATION,ELSC classifies conservative/mainstream media as enabling actors in some incidents,source_claim,medium,3,2015-2020,S_ELSC_2021,media_generalization,Use with care,evidence_of_public_relation,not_adjudicated
ELSC,GEENSTIJL,COUNTER_DOCUMENTATION,ELSC enabling actor category for hostile media amplification,source_claim,medium,3,2015-2020,S_ELSC_2021,media_generalization,Use with care,evidence_of_public_relation,not_adjudicated
ELSC,DDS,COUNTER_DOCUMENTATION,ELSC enabling actor category for hostile media amplification,source_claim,medium_low,2,2015-2020,S_ELSC_2021,media_generalization,Use with care,evidence_of_public_relation,not_adjudicated
ELSC,TPO,COUNTER_DOCUMENTATION,ELSC enabling actor category for hostile media amplification,source_claim,medium_low,2,2015-2020,S_ELSC_2021,media_generalization,Use with care,evidence_of_public_relation,not_adjudicated
ELSC,OPINIEZ,COUNTER_DOCUMENTATION,ELSC enabling actor category for hostile media amplification,source_claim,medium_low,2,2015-2020,S_ELSC_2021,media_generalization,Use with care,evidence_of_public_relation,not_adjudicated
ELSC,PALESTINIAN_NGOS,MONITORING,Documents 76 incidents affecting Palestinian-rights advocacy,documented_by_source,high,5,2015-2020,S_ELSC_2021,none,Backbone target cluster,evidence_of_public_relation,not_adjudicated
CIDI,CESTMOCRO,LEGAL_COMPLAINT,CIDI filed complaint for alleged incitement to hatred/violence against Jews,verified_public_action,high,5,2023,S_CIDI_CESTMOCRO_2023;S_NOS_CESTMOCRO_2023,legal_claim,"Describes complaint, not judicial finding",evidence_of_public_relation,not_adjudicated
CIDI,DUTCH_GOV,POLITICAL_PRESSURE,CIDI asked cabinet to take a position against CestMocro-related incitement,verified_public_action,high,4,2023,S_CIDI_CESTMOCRO_2023,political_pressure,Primary source CIDI,evidence_of_public_relation,not_adjudicated
