edge_id,source_type,source_id,target_type,target_id,edge_type,relation_label,evidence_status,confidence,weight,date_range,source_ids,case_id,risk_flags,notes,epistemic_role,adjudication_status
E001,actor,ELSC,actor,CIDI,COUNTER_DOCUMENTATION,ELSC identifies CIDI among Dutch Israel-advocacy actors in suppression incidents,source_claim,medium,4,2015-2020,S_ELSC_2021,,contested_claim,"Use as ELSC claim, not court finding",evidence_of_public_relation,not_adjudicated
E002,actor,ELSC,actor,NGO_MONITOR,COUNTER_DOCUMENTATION,ELSC maps external Israeli-source disinformation/dossier amplification pattern,source_claim,medium,4,2015-2020,S_ELSC_2021,,contested_claim,NGO Monitor contests such characterisations,evidence_of_public_relation,not_adjudicated
E003,actor,ELSC,actor,TELEGRAAF,COUNTER_DOCUMENTATION,ELSC classifies right-wing media outlets as enabling actors/amplifiers,source_claim,medium,3,2015-2020,S_ELSC_2021,,media_generalization,Publication-specific edges required for stronger claim,evidence_of_public_relation,not_adjudicated
E004,actor,ELSC,actor,EW,COUNTER_DOCUMENTATION,ELSC classifies conservative/mainstream media as enabling actors in some incidents,source_claim,medium,3,2015-2020,S_ELSC_2021,,media_generalization,Use with care,evidence_of_public_relation,not_adjudicated
E005,actor,ELSC,actor,GEENSTIJL,COUNTER_DOCUMENTATION,ELSC enabling actor category for hostile media amplification,source_claim,medium,3,2015-2020,S_ELSC_2021,,media_generalization,Use with care,evidence_of_public_relation,not_adjudicated
E006,actor,ELSC,actor,DDS,COUNTER_DOCUMENTATION,ELSC enabling actor category for hostile media amplification,source_claim,medium_low,2,2015-2020,S_ELSC_2021,,media_generalization,Use with care,evidence_of_public_relation,not_adjudicated
E007,actor,ELSC,actor,TPO,COUNTER_DOCUMENTATION,ELSC enabling actor category for hostile media amplification,source_claim,medium_low,2,2015-2020,S_ELSC_2021,,media_generalization,Use with care,evidence_of_public_relation,not_adjudicated
E008,actor,ELSC,actor,OPINIEZ,COUNTER_DOCUMENTATION,ELSC enabling actor category for hostile media amplification,source_claim,medium_low,2,2015-2020,S_ELSC_2021,,media_generalization,Use with care,evidence_of_public_relation,not_adjudicated
E009,actor,CIDI,actor,CESTMOCRO,LEGAL_COMPLAINT,CIDI filed complaint for alleged incitement to hatred/violence against Jews,verified_public_action,high,5,2023,S_CIDI_CESTMOCRO_2023;S_NOS_CESTMOCRO_2023,CASE_CESTMOCRO_2023,legal_claim,"Describes complaint, not judicial finding",evidence_of_public_relation,not_adjudicated
E010,actor,CIDI,actor,DUTCH_GOV,POLITICAL_PRESSURE,CIDI asked cabinet to take a position against CestMocro-related incitement,verified_public_action,high,4,2023,S_CIDI_CESTMOCRO_2023,CASE_CESTMOCRO_2023,political_pressure,Primary source CIDI,evidence_of_public_relation,not_adjudicated
E011,actor,BBB,actor,CESTMOCRO,PLATFORM_RESTRICTION_ARGUMENT,BBB/Van der Plas suggested possible prohibition in public debate,reported_public_statement,high,4,2024,S_VILLAMEDIA_CESTMOCRO_2024,CASE_CESTMOCRO_BAN_2024,speech_restriction,Freedom-of-expression sensitive,evidence_of_public_relation,not_adjudicated
E012,actor,CAROLINE_VDP,actor,CESTMOCRO,PLATFORM_RESTRICTION_ARGUMENT,Van der Plas suggested CestMocro could be banned,reported_public_statement,high,4,2024,S_VILLAMEDIA_CESTMOCRO_2024,CASE_CESTMOCRO_BAN_2024,speech_restriction,Reported by Villamedia,evidence_of_public_relation,not_adjudicated
E013,actor,LIKOED_NL,actor,THIEMEMEULENHOFF,CAMPAIGN_PRESSURE,Schoolbook criticism framed content as antisemitic/anti-Israel errors,verified_public_action,high,5,2015,S_LIKOED_THIEME_2015,CASE_SCHOOLBOOK_2015,none,Primary Likoed publication,evidence_of_public_relation,not_adjudicated
E014,actor,LIKOED_NL,actor,NOORDHOFF,CAMPAIGN_PRESSURE,Schoolbook criticism over Jeruzalem/Jewish history content,reported_public_action,high,5,2019,S_JONET_NOORDHOFF_2019,CASE_SCHOOLBOOK_2019,none,Reported public campaign,evidence_of_public_relation,not_adjudicated
E015,actor,IAF,actor,TWEEDE_KAMER,PARLIAMENTARY_ACCESS,IAF lists Netherlands caucus in global network,self_disclosed,high,5,current,S_IAF_MEMBERS,,none,Official IAF network page,evidence_of_public_relation,not_adjudicated
E016,actor,IAF,actor,CHRIS_STOFFER,PARLIAMENTARY_ACCESS,IAF lists Chris Stoffer as Netherlands caucus chair,self_disclosed,high,5,current,S_IAF_MEMBERS,,none,Official IAF network page,evidence_of_public_relation,not_adjudicated
E017,actor,IAF,actor,SGP,PARLIAMENTARY_ACCESS,Dutch caucus historically initiated by SGP/CU figures and currently chaired by SGP MP,reported_self_disclosed,high,5,2013-current,S_JONET_IIACF_2013;S_IAF_MEMBERS,CASE_IAF_CAUCUS_2013,none,Party/network edge,evidence_of_public_relation,not_adjudicated
E018,actor,IAF,actor,CU,PARLIAMENTARY_ACCESS,CU/SGP parliamentary pro-Israel club became part of IIACF network,reported_public_action,high,4,2013,S_JONET_IIACF_2013,CASE_IAF_CAUCUS_2013,none,Historical edge,evidence_of_public_relation,not_adjudicated
E019,actor,KEES_VD_STAAIJ,actor,IAF,NETWORK_INITIATION,SGP leader named in 2013 caucus creation context,reported_public_action,medium_high,4,2013,S_JONET_IIACF_2013,CASE_IAF_CAUCUS_2013,none,Historical role,evidence_of_public_relation,not_adjudicated
E020,actor,JOEL_VOORDEWIND,actor,IAF,NETWORK_INITIATION,CU politician named in 2013 caucus creation context,reported_public_action,medium_high,4,2013,S_JONET_IIACF_2013,CASE_IAF_CAUCUS_2013,none,Historical role,evidence_of_public_relation,not_adjudicated
E021,actor,IAF_EU,actor,SGP,EVENT_PARTICIPATION,SGP reports participation in IAF Europe Policy Summit,self_disclosed,high,4,2025,S_SGP_IAF_2025,,none,Party source,evidence_of_public_relation,not_adjudicated
E022,actor,SGP,actor,IAF_EU,FRAMING_ALIGNMENT,SGP summit article frames international law criticism as misused against Israel,self_disclosed,high,4,2025,S_SGP_IAF_2025,,none,Frame alignment,evidence_of_public_relation,not_adjudicated
E023,actor,IAF,actor,BERTJAN_RUISSEN,PARLIAMENTARY_ACCESS,IAF member nations page lists European Union caucus chair as Bert-Jan Ruissen,self_disclosed,high,4,current,S_IAF_MEMBERS,,none,Official IAF page,evidence_of_public_relation,not_adjudicated
E024,actor,TRF,actor,IAF,COUNTER_DOCUMENTATION,TRF investigates IAF as Christian parliamentary mobilization network,source_claim,medium,3,2025,S_RIGHTSFORUM_IAF_2025,,contested_claim,Advocacy source,evidence_of_public_relation,not_adjudicated
E025,actor,TRF,actor,SGP,COUNTER_DOCUMENTATION,TRF maps SGP links to IAF/christian-zionist networks,source_claim,medium,3,2025,S_RIGHTSFORUM_IAF_2025,,contested_claim,Advocacy source,evidence_of_public_relation,not_adjudicated
E026,actor,TRF,actor,CU,COUNTER_DOCUMENTATION,TRF maps CU links to IAF/christian-zionist networks,source_claim,medium,3,2025,S_RIGHTSFORUM_IAF_2025,,contested_claim,Advocacy source,evidence_of_public_relation,not_adjudicated
E027,actor,ELNET,actor,CHRIS_STOFFER,SPONSORED_TRAVEL,Stoffer registered 2024 Israel solidarity visit paid by ELNET,official_record,high,5,2024,S_TK_STOFFER_REIZEN,CASE_IAF_CAUCUS_2013,none,Official travel disclosure,evidence_of_public_relation,not_adjudicated
E028,actor,CVI,actor,CHRIS_STOFFER,SPONSORED_TRAVEL,"Stoffer registered 2022 Israel visit on invitation of Christenen voor Israël, partly paid by SGP foundation/fractie",official_record,high,4,2022,S_TK_STOFFER_REIZEN,,none,Official travel disclosure,evidence_of_public_relation,not_adjudicated
E029,actor,NGO_MONITOR,actor,DUTCH_GOV,POLICY_INPUT,NGO Monitor report triggered request for ministerial response,official_record,high,4,2025,S_RIJK_NGOMONITOR_2025,CASE_NGO_OXFAM_2026,none,Government workflow edge,evidence_of_public_relation,not_adjudicated
E030,actor,NGO_MONITOR,actor,OXFAM_NOVIB,TERROR_LINK_ALLEGATION,NGO Monitor allegations about Oxfam/DRA were referenced in Dutch parliamentary questions,contested_claim,high,5,2026,S_TK_NGOMONITOR_2026_VVD;S_TK_NGOMONITOR_2026_MARKUSZOWER,CASE_NGO_OXFAM_2026,defamation_sensitive,Cabinet stated no information supports the allegations,allegation_entering_policy_discourse,unadjudicated_contested
E031,actor,TELEGRAAF,actor,OXFAM_NOVIB,MEDIA_AMPLIFICATION,De Telegraaf report was referenced in parliamentary questions about NGO Monitor/Oxfam allegations,official_record_reference,high,5,2026,S_TK_NGOMONITOR_2026_VVD;S_TK_NGOMONITOR_2026_MARKUSZOWER,CASE_NGO_OXFAM_2026,defamation_sensitive,"Use as media-to-parliament pathway, not as truth of allegation",evidence_of_public_relation,not_adjudicated
E032,actor,VVD,actor,DUTCH_GOV,PARLIAMENTARY_QUESTION,VVD MP Rajkowski asked questions based on De Telegraaf/NGO Monitor Oxfam framing,official_record,high,4,2026,S_TK_NGOMONITOR_2026_VVD,CASE_NGO_OXFAM_2026,none,Official Q&A,evidence_of_public_relation,not_adjudicated
E033,actor,QUEENY_RAJKOWSKI,actor,DUTCH_GOV,PARLIAMENTARY_QUESTION,VVD MP Rajkowski asked questions based on De Telegraaf/NGO Monitor Oxfam framing,official_record,high,3,2026,S_TK_NGOMONITOR_2026_VVD;S_TK_RAJKOWSKI_DETAIL_2026,CASE_NGO_OXFAM_2026,none,Official Q&A,evidence_of_public_relation,not_adjudicated
E034,actor,GIDI_MARKUSZOWER,actor,DUTCH_GOV,PARLIAMENTARY_QUESTION,Questions to ministers over NGO Monitor/Oxfam claims,official_record,high,4,2026,S_TK_NGOMONITOR_2026_MARKUSZOWER,CASE_NGO_OXFAM_2026,none,Official Q&A,evidence_of_public_relation,not_adjudicated
E035,actor,ANNELOTTE_LAMMERS,actor,DUTCH_GOV,PARLIAMENTARY_QUESTION,Questions to ministers over NGO Monitor/Oxfam claims,official_record,high,4,2026,S_TK_NGOMONITOR_2026_MARKUSZOWER,CASE_NGO_OXFAM_2026,none,Official Q&A,evidence_of_public_relation,not_adjudicated
E036,actor,DUTCH_GOV,actor,NGO_MONITOR,OFFICIAL_NONCONFIRMATION,Cabinet stated it had no information supporting the NGO Monitor allegations,official_position,high,5,2026,S_TK_NGOMONITOR_2026_VVD;S_TK_NGOMONITOR_2026_MARKUSZOWER,CASE_NGO_OXFAM_2026,institutional_self_interest;potential_non_transparency;contested_claim,"Government position = political act, not independent investigation. Non-confirmation ≠ falsification. Government has institutional interest in protecting donor relations and avoiding scrutiny.",political_position_not_investigation,unadjudicated_contested
E037,actor,DUTCH_GOV,actor,DRA,DUE_DILIGENCE_ASSERTION,Cabinet asserted due-diligence processes were in order for named organizations,official_position,high,5,2026,S_TK_NGOMONITOR_2026_VVD,CASE_NGO_OXFAM_2026,institutional_self_interest;potential_non_transparency,Institutional self-report; no independent audit. Government assesses its own processes - inherent conflict of interest.,political_position_not_investigation,unadjudicated
E038,actor,DUTCH_GOV,actor,OXFAM_NOVIB,CONFIDENCE_IN_PARTNER,Cabinet expressed confidence in partner neutrality/independence,official_position,high,5,2026,S_TK_NGOMONITOR_2026_VVD;S_TK_NGOMONITOR_2026_MARKUSZOWER,CASE_NGO_OXFAM_2026,institutional_self_interest;potential_non_transparency,Policy position protecting donor relations and coalition stability. Not independent verification.,political_position_not_investigation,unadjudicated
E039,actor,TRF,actor,TELEGRAAF,COUNTER_DOCUMENTATION,TRF accuses De Telegraaf of NGO Monitor amplification in UAWC/Al-Mezan context,source_claim,medium,3,2020,S_RIGHTSFORUM_TELEGRAAF_2020,,contested_claim,Advocacy source,evidence_of_public_relation,not_adjudicated
E040,actor,NGO_MONITOR,actor,TELEGRAAF,FRAME_SUPPLY,TRF/NRC-linked dispute: NGO Monitor material used in De Telegraaf NGO-related articles,contested_reported_pattern,medium_high,4,2020-2026,S_RIGHTSFORUM_TELEGRAAF_2020;S_NGOMONITOR_RESPONSE_NRC_2026,CASE_NGO_OXFAM_2026,contested_claim,NGO Monitor disputes NRC framing but confirms substantive conflict,evidence_of_public_relation,not_adjudicated
E041,actor,NGO_MONITOR,actor,NRC,COUNTER_ATTACK_RESPONSE,NGO Monitor published rebuttal to NRC article about NGO Monitor and De Telegraaf,verified_public_action,high,3,2026,S_NGOMONITOR_RESPONSE_NRC_2026,,contested_claim,Adversarial source,evidence_of_public_relation,not_adjudicated
E042,actor,HU,actor,CIDI,EVENT_COLLABORATION,HU organized Holocaust/antisemitism lectures with CIDI,reported_public_action,high,5,2024,S_NOS_HU_CIDI_2024;S_HOP_HU_POLITICI_2024,CASE_HU_CIDI_2024,none,Education collaboration case,evidence_of_public_relation,not_adjudicated
E043,actor,NEW_NEIGHBOURS,actor,HU,CRITICISM_PRESSURE,New Neighbours objected to CIDI involvement in HU lectures,reported_public_action,high,4,2024,S_NOS_HU_CIDI_2024;S_HOP_HU_POLITICI_2024,CASE_HU_CIDI_2024,none,Reported objection,evidence_of_public_relation,not_adjudicated
E044,actor,CIDI,actor,HU,SAFETY_INTIMIDATION_FRAME,CIDI characterized postponement as intimidation/threats paying off,reported_public_statement,high,4,2024,S_HOP_HU_POLITICI_2024;S_NOS_HU_CIDI_2024,CASE_HU_CIDI_2024,safety_frame,Reported statement,evidence_of_public_relation,not_adjudicated
E045,actor,TELEGRAAF,actor,HU,MEDIA_AMPLIFICATION,"De Telegraaf first reported HU postponement, triggering broader media/political reaction",reported_media_sequence,medium_high,4,2024,S_HOP_HU_POLITICI_2024;S_NOS_HU_CIDI_2024,CASE_HU_CIDI_2024,none,Sequence reported by HOP/NOS,evidence_of_public_relation,not_adjudicated
E046,actor,GEENSTIJL,actor,HU,MEDIA_AMPLIFICATION,GeenStijl took over HU/CIDI story with hostile comment according to HU local reporting,reported_media_sequence,medium,3,2024,S_HOP_HU_POLITICI_2024,CASE_HU_CIDI_2024,none,Use with source-specific confirmation,evidence_of_public_relation,not_adjudicated
E047,actor,DILAN_YESILGOZ,actor,HU,PUBLIC_PRESSURE,Publicly criticized HU postponement as a disgrace/gotspe,reported_public_statement,high,4,2024,S_HOP_HU_POLITICI_2024,CASE_HU_CIDI_2024,none,Reported X statement,evidence_of_public_relation,not_adjudicated
E048,actor,CAROLINE_VDP,actor,HU,PARLIAMENTARY_PRESSURE,Wanted to ask cabinet oral questions over HU decision,reported_public_action,high,4,2024,S_HOP_HU_POLITICI_2024,CASE_HU_CIDI_2024,none,Reported parliamentary pressure,evidence_of_public_relation,not_adjudicated
E049,actor,PIETER_OMTZIGT,actor,HU,PUBLIC_PRESSURE,Questioned HU's moral compass over postponement,reported_public_statement,medium_high,3,2024,S_HOP_HU_POLITICI_2024,CASE_HU_CIDI_2024,none,Reported X statement,evidence_of_public_relation,not_adjudicated
E050,actor,NAOMI_MESTRUM,actor,NOS,MEDIA_STATEMENT,CIDI director provided statement to NOS in HU case,reported_public_statement,high,3,2024,S_NOS_HU_CIDI_2024,CASE_HU_CIDI_2024,none,Spokesperson edge,evidence_of_public_relation,not_adjudicated
E051,actor,CVI_MEDIA,actor,WIERD_DUK,PLATFORMING,Christenen voor Israël hosted Wierd Duk on media bias around Israel/Gaza,verified_public_content,high,4,2024,S_CVI_WIERD_DUK_2024,,none,Public media appearance,evidence_of_public_relation,not_adjudicated
E052,actor,CVI,actor,CVI_MEDIA,MEDIA_OWNERSHIP_OR_PLATFORM,CVI operates/hosts its media/podcast content,self_disclosed,high,4,2024,S_CVI_WIERD_DUK_2024,,none,Advocacy media platform,evidence_of_public_relation,not_adjudicated
E053,actor,WIERD_DUK,actor,TELEGRAAF,MEDIA_AFFILIATION,Wierd Duk is Telegraaf reporter/commentator in platform descriptions,reported_public_profile,high,4,2024-2026,S_CVI_WIERD_DUK_2024;S_NVD_WIERD_DUK_2026,,none,Affiliation edge,evidence_of_public_relation,not_adjudicated
E054,actor,WIERD_DUK,actor,NIEUWS_VD_DAG,COMMENTARY,Commentary on 'Palestinisering' of media/education discourse,verified_public_content,high,3,2026,S_NVD_WIERD_DUK_2026,,none,Content frame edge,evidence_of_public_relation,not_adjudicated
E055,actor,LEON_DE_WINTER,actor,NPO_RADIO1,COMMENTARY,Appeared in NPO Radio 1 podcast on Israel-Hamas conflict,verified_public_content,high,3,2023,S_NPORADIO1_LEON_2023,,none,Public commentary,evidence_of_public_relation,not_adjudicated
E056,actor,LEON_DE_WINTER,actor,EW,MEDIA_AFFILIATION,EW author profile for Leon de Winter,publisher_profile,high,4,current,S_EW_LEON,,none,Media affiliation,evidence_of_public_relation,not_adjudicated
E057,actor,ESTHER_VOET,actor,NIW,EDITORIAL_ROLE,NIW head editor profile; former CIDI director/adjunct-director noted,publisher_profile,high,5,current,S_NIW_REDACTIE,,none,Bridge node,evidence_of_public_relation,not_adjudicated
E058,actor,ESTHER_VOET,actor,CIDI,FORMER_ROLE,NIW profile states Voet was connected to CIDI as adjunct-director/director,publisher_profile,high,5,historical,S_NIW_REDACTIE,,none,Historical role,evidence_of_public_relation,not_adjudicated
E059,actor,BART_VAN_DIJK,actor,CIDI,EMPLOYEE_ROLE,NIW article identifies Bart van Dijk as CIDI employee,publisher_article,high,4,2025,S_NIW_CIDI_DATA_2025,,none,Data bridge,evidence_of_public_relation,not_adjudicated
E060,actor,NIW,actor,CIDI,DATA_USE,NIW article uses CIDI voting-data on Tweede Kamer since 7 Oct 2023,publisher_article,high,4,2025,S_NIW_CIDI_DATA_2025,,none,Media-data bridge,evidence_of_public_relation,not_adjudicated
E061,actor,BART_SCHUT,actor,NIW,MEDIA_AFFILIATION,Bart Schut writes for/with NIW in public articles,publisher_article,medium_high,3,2017-2025,S_CVANDAAG_BARTSCHUT_2017;S_NIW_CIDI_DATA_2025,,none,Journalist/opiniemaker,evidence_of_public_relation,not_adjudicated
E062,actor,FRITS_HUFFNAGEL,actor,CASTRO,FOUNDER_ROLE,Castro profile lists Huffnagel as founder and network/political communications actor,self_disclosed,high,5,2019-current,S_CASTRO_OVER;S_CASTRO_SITE,,none,Lobby/communications node,evidence_of_public_relation,not_adjudicated
E063,actor,STEFAN_DE_BRUIJN,actor,CASTRO,FOUNDER_ROLE,Castro profile lists De Bruijn as founder/managing partner,self_disclosed,high,5,2019-current,S_CASTRO_OVER,,none,Lobby/communications node,evidence_of_public_relation,not_adjudicated
E064,actor,JONET,actor,LIKOED_NL,REPORTING,Jonet reports Likoed Nederland Noordhoff campaign,verified_public_reporting,high,2,2019,S_JONET_NOORDHOFF_2019,CASE_SCHOOLBOOK_2019,none,Community news reporting,evidence_of_public_relation,not_adjudicated
E065,actor,JONET,actor,IAF,REPORTING,Jonet reports CU/SGP pro-Israel parliamentary club linked to IIACF,verified_public_reporting,high,2,2013,S_JONET_IIACF_2013,CASE_IAF_CAUCUS_2013,none,Historical reporting,evidence_of_public_relation,not_adjudicated
E066,actor,TRF,actor,CIDI,COUNTER_DOCUMENTATION,TRF articles contest CIDI role in Israel-lobby/framing disputes,source_claim,medium,3,2017-2025,S_RIGHTSFORUM_IAF_2025;S_RIGHTSFORUM_TELEGRAAF_2020,,contested_claim,Advocacy source,evidence_of_public_relation,not_adjudicated
E067,actor,NGO_MONITOR,actor,TRF,DOSSIER_TARGETING,NGO Monitor maintains page/profile on The Rights Forum,verified_public_action,high,3,current,S_NGOMONITOR_RESPONSE_NRC_2026,,none,Use if source URL to TRF page added separately,evidence_of_public_relation,not_adjudicated
E068,actor,VVD,actor,HU,PUBLIC_PRESSURE,VVD leader Yesilgöz criticized HU in public reaction,reported_public_statement,high,3,2024,S_HOP_HU_POLITICI_2024,CASE_HU_CIDI_2024,none,Party-level edge via leader statement,evidence_of_public_relation,not_adjudicated
E069,actor,BBB,actor,HU,PARLIAMENTARY_PRESSURE,BBB leader Van der Plas wanted oral questions about HU decision,reported_public_action,high,3,2024,S_HOP_HU_POLITICI_2024,CASE_HU_CIDI_2024,none,Party-level edge via leader statement,evidence_of_public_relation,not_adjudicated
E070,actor,NSC,actor,HU,PUBLIC_PRESSURE,NSC leader Omtzigt criticized HU decision,reported_public_statement,medium_high,3,2024,S_HOP_HU_POLITICI_2024,CASE_HU_CIDI_2024,none,Party-level edge via leader statement,evidence_of_public_relation,not_adjudicated
E071,actor,NGO_MONITOR,actor,AL_MEZAN,TERROR_LINK_ALLEGATION,NGO Monitor published allegations about Al Mezan ties to PFLP according to ELSC,source_claim,medium_high,5,2020,S_ELSC_JOODS_TELEGRAAF_ALMEZAN,CASE_ALMEZAN_2020,defamation_sensitive;contested_claim,Allegation transmission; not validation,allegation_origin,unadjudicated_contested
E072,actor,NGO_MONITOR,actor,JOODS_NL,FRAME_SUPPLY,ELSC states Joods.nl replicated NGO Monitor claims about Al Mezan,source_claim,medium_high,4,2020,S_ELSC_JOODS_TELEGRAAF_ALMEZAN,CASE_ALMEZAN_2020,defamation_sensitive;contested_claim,Transmission claim based on ELSC,transmission_of_claim,unadjudicated_contested
E073,actor,NGO_MONITOR,actor,TELEGRAAF,FRAME_SUPPLY,ELSC states De Telegraaf replicated NGO Monitor claims about Al Mezan,source_claim,medium_high,4,2020,S_ELSC_JOODS_TELEGRAAF_ALMEZAN,CASE_ALMEZAN_2020,defamation_sensitive;contested_claim,Transmission claim based on ELSC,transmission_of_claim,unadjudicated_contested
E074,actor,JOODS_NL,actor,AL_MEZAN,MEDIA_AMPLIFICATION,ELSC states Joods.nl published articles replicating NGO Monitor claims about Al Mezan,source_claim,medium_high,4,2020,S_ELSC_JOODS_TELEGRAAF_ALMEZAN,CASE_ALMEZAN_2020,defamation_sensitive;contested_claim,Media amplification claim,transmission_of_claim,unadjudicated_contested
