claim_id,label,claim_text,claim_type,originator_actor_id,first_publication_date,status,adjudication_status,confidence,source_ids,notes,pattern_strength,transmission_strength,capture_risk,independent_verification_level,impact_strength,institutional_self_interest,assessment_basis,review_status
C1,Antisemitismeframing,"Kritiek op Israël, zionisme of Israëlische staatspraktijken wordt geframed als antisemitisme of als gevaar voor Joodse veiligheid.",rhetorical_strategy,ELSC,2015,documented_pattern,not_adjudicated,high,S_ELSC_2021;S_ELSC_PRESS_2021,Niet elke antisemitismemelding is instrumenteel; per casus scheiden.,high,high,medium,low,,,"Antisemitismeframing als terugkerend patroon gedocumenteerd door ELSC over 2015-2020. Herkenbaar in meerdere cases (HU, CestMocro, Al Mezan). Geen onafhankelijke rechterlijke toets per incident.",draft
C2,Terror-link allegation,"Organisaties of personen worden geassocieerd met Hamas, PFLP of terrorismefinanciering via rapporten, media of Kamervragen.",rhetorical_strategy,NGO_MONITOR,2020,transmission_documented,unadjudicated_contested,high,S_ELSC_JOODS_TELEGRAAF_ALMEZAN;S_TK_NGOMONITOR_2026_VVD,Altijd markeren als aantijging tenzij onafhankelijk geadjudiceerd.,high,high,high,low,,,"Terror-link framing herhaald over meerdere cases (Oxfam, Al Mezan, UAWC). Transmissie via NGO Monitor -> media -> Kamervragen. Geen onafhankelijke bevestiging van inhoudelijke claims.",draft
C3,Karaktermoord / persoonlijke delegitimatie,"De persoon of organisatie wordt centraal gemaakt, vaak met morele of historische beladenheid, in plaats van de inhoudelijke claim.",rhetorical_strategy,TRF,2019,advocacy_counterdocumentation,not_adjudicated,medium_high,S_TRF_CHARACTER_2019,Bronrol expliciet houden omdat TRF zelf actor en target is.,high,medium,medium,low,,,Karaktermoord-frame gedocumenteerd door TRF over meerdere publicaties. Patroon herkenbaar maar bron is zelf betrokken partij (TRF). Transmissie naar mainstream media beperkt.,draft
C4,Veiligheidsframe / onveiligheidsclaim,Bijeenkomsten of uitingen worden geframed als bedreigend voor Joodse veiligheid of sociale veiligheid.,rhetorical_strategy,CIDI,2023,documented_pattern_plus_case_reporting,not_adjudicated,medium_high,S_ELSC_2021;S_NOS_HU_CIDI_2024,Niet reduceren tot schijnveiligheid.,medium,high,medium,low,,,Veiligheidsframe door CIDI in HU-case. Transmissie via NOS/HOP. CIDI is zowel klager als framebron. Geen externe verificatie van veiligheidsclaim. Patroonherhaling over meerdere CIDI-interventies.,draft
C5,Subsidie- en fondsendruk,Donoren worden onder druk gezet om financiële steun aan Palestijnse of kritische organisaties te stoppen.,rhetorical_strategy,ELSC,2015,documented_pattern,not_adjudicated,high,S_ELSC_2021;S_ELSC_PRESS_2021,"Onderscheid aantijging,  onderzoek,  subsidie-effect en politieke druk.",high,high,high,low,,,Subsidie- en fondsendruk als terugkerend patroon gedocumenteerd door ELSC. Zichtbaar in UAWC-case. Overheid is donor en doelwit van druk. Herhaald patroon over meerdere jaren en cases.,draft
C6,Schijn van onafhankelijke expertise,"Rapporten of watchdogclaims worden als neutrale expertise gepresenteerd terwijl bronpositie, financiering of politieke functie betwist is.",rhetorical_strategy,NRC,2026,contested_source_role,unadjudicated_contested,medium,S_NGOMONITOR_RESPONSE_NRC_2026;S_RIGHTSFORUM_FREESPEECH_2021,Niet oplossen via autoriteitsargument.,medium,medium,high,low,,,Schijn van onafhankelijke expertise rond NGO Monitor. NRC-artikel + NGO Monitor-rebuttal. Beide partijen betwisten elkaars positie. Geen onafhankelijke derde partij die oordeelt.,draft
C7,Chilling effect,"Zelfcensuur of institutionele terugtrekking door anticipatie op klachten, reputatieschade, rechtszaken of media-aanvallen.",impact_mechanism,ELSC,2015,documented_impact_pattern,not_adjudicated,high,S_ELSC_2021;S_ELSC_PRESS_2021,"Meetbaar maken via afgezegde events,  taalverzachting.",high,medium,medium,low,,,"Chilling effect als impactmechanisme gedocumenteerd door ELSC. Meetbaar via afgezegde events (HU-case). Lastig direct te bewijzen want effect is zelfcensuur, dus per definitie deels onzichtbaar.",draft
C8,NGO Monitor alleges Oxfam Novib / DRA terror links,NGO Monitor rapport bevat aantijgingen over terrorismefinanciering via Oxfam Novib en Dutch Relief Alliance.,allegation,NGO_MONITOR,2025,contested_claim,unadjudicated_contested,high,S_TK_NGOMONITOR_2026_VVD;S_TK_NGOMONITOR_2026_MARKUSZOWER,Kabinet heeft geen ondersteunende informatie.,high,high,high,low,,,NGO Monitor Oxfam/DRA terror-link claim. Volledige transmissieketen: rapport -> Telegraaf -> VVD+PVV Kamervragen -> kabinet. Overheid is donor en reageert met non-confirmatie + due-diligence assertion.,draft
C9,NGO Monitor alleges Al Mezan PFLP links,"NGO Monitor publiceerde aantijgingen over Al Mezan-banden met PFLF, gerepliceerd door Joods.nl en De Telegraaf.",allegation,NGO_MONITOR,2020,transmission_documented,unadjudicated_contested,medium_high,S_ELSC_JOODS_TELEGRAAF_ALMEZAN,Transmissieroute gedocumenteerd door ELSC.,high,high,high,low,,,Al Mezan terror-link claim. Transmissie via Joods.nl + Telegraaf -> PVV -> CIDI publicatie. Gedocumenteerd door ELSC. Transmissieroute gereconstrueerd maar niet per artikel geverifieerd.,needs_source_verification
C10,NGO Monitor alleges UAWC terror links,NGO Monitor rapportage gebruikt tegen UAWC-financiering.,allegation,NGO_MONITOR,2020,contested_claim,unadjudicated_contested,medium_high,S_RIGHTSFORUM_FREESPEECH_2021;S_ELSC_2021,TRF/ELSC bron.,medium,medium,high,low,,,UAWC terror-link claim. Transmissie deels gedocumenteerd via TRF/ELSC. Impact op NL-financiering niet direct aangetoond. Patroon vergelijkbaar met C8/C9 maar minder volledige keten.,draft
