research_edge_id,source_label,target_label,proposed_edge_type,mechanism_guess,why_relevant,related_case,related_claim,current_trace_level,needed_evidence,priority,status,notes
RE_NGO_CIDI,NGO_MONITOR,CIDI,FRAME_SUPPLY,NGO Monitor levert dossiers/frames die CIDI gebruikt in NL-context,CIDI gebruikt NGO Monitor-materiaal in publieke communicatie,CASE_ALMEZAN_2020,C9,name_overlap,CIDI-artikel of -statement dat NGO Monitor citeert,P1,needs_source,ELSC-rapport documenteert route voor Al Mezan
RE_NGO_LIKOED,NGO_MONITOR,LIKOED_NL,FRAME_SUPPLY,Likoed gebruikt NGO Monitor-rapportage voor schoolboekcampagnes,Beide actoren richten zich op antisemitismebestrijding in onderwijs,CASE_SCHOOLBOOK_2015,C12,name_overlap,Likoed-publicatie die NGO Monitor noemt,P2,needs_source,
RE_CIDI_VVD,CIDI,VVD,POLITICAL_TRANSMISSION,CIDI-data en -framing worden gebruikt door VVD-Kamerleden,Zichtbaar in HU-case en NGO Monitor-Kamervragen,CASE_HU_CIDI_2024;CASE_NGO_OXFAM_2026,C13;C8,public_statement,CIDI-communicatie voorafgaand aan VVD-actie,P1,needs_source,Yesilgöz reageerde direct. Rajkowski stelde vragen obv Telegraaf/NGO Monitor
RE_CIDI_BBB,CIDI,BBB,POLITICAL_TRANSMISSION,CIDI-framing wordt overgenomen door BBB in publieke uitspraken,Van der Plas reageerde op HU-case en CestMocro in lijn met CIDI,CASE_HU_CIDI_2024;CASE_CESTMOCRO_BAN_2024,C13;C11,public_statement,CIDI-communicatie voorafgaand aan BBB-reactie,P2,needs_source,
RE_CIDI_NIW,CIDI,NIW,DATA_USE,CIDI levert stemgedrag-data aan NIW voor publicatie,NIW-artikel expliciet in samenwerking met CIDI-employee,,,official_record,NIW-artikel met CIDI-bronvermelding (aanwezig),P0,trace_found,ART_NIW_CIDI_DATA_2025; Bart van Dijk is CIDI-employee
RE_CIDI_NOS,CIDI,NOS,MEDIA_STATEMENT,CIDI-directeur geeft statement aan NOS over lopende zaken,CIDI gebruikt NOS als platform voor publieke positionering,CASE_CESTMOCRO_2023;CASE_HU_CIDI_2024,C11;C13,official_record,Bevestigd via NOS-artikelen,P2,needs_source,"Al als edge in v5 via E083, E084, E050"
RE_CIDI_MEDIA_GENERAL,CIDI,MEDIA_CLUSTER_NL,MEDIA_PRESENCE,CIDI heeft structurele media-aanwezigheid (172 dagen in 2024 volgens eigen rapport),CIDI meet eigen media-impact; structurele amplificatie,,C1;C4,official_record,CIDI-activiteitenoverzicht 2024 (aanwezig als S_CIDI_ACTIVITY_2024),P1,trace_found,CIDI self-report: 172 media-dagen in 2024
RE_TELEGRAAF_VVD,TELEGRAAF,VVD,MEDIA_TO_PARLIAMENT,Telegraaf-artikel over NGO Monitor/Oxfam leidt tot VVD-Kamervragen,Rajkowski (VVD) verwees naar Telegraaf in Kamervragen,CASE_NGO_OXFAM_2026,C8,official_record,Kamerstuk met Telegraaf-referentie (aanwezig),P0,trace_found,"Al als edge in v5: E031, E032, E033. Tekstoverlap nog meten."
RE_TELEGRAAF_PVV,TELEGRAAF,PVV,MEDIA_TO_PARLIAMENT,Telegraaf-artikel leidt tot PVV-Kamervragen over NGO Monitor/Oxfam,Markuszower + Lammers stelden vragen obv Telegraaf,CASE_NGO_OXFAM_2026,C8,official_record,Kamerstuk (aanwezig),P0,trace_found,"Al als edge in v5: E031, E034, E035"
RE_NGO_TELEGRAAF,NGO_MONITOR,TELEGRAAF,FRAME_SUPPLY,NGO Monitor-rapporten worden gebruikt als bron voor Telegraaf-artikelen,Telegraaf bericht over NGO Monitor-aantijgingen,CASE_NGO_OXFAM_2026,C8,media_sequence,Telegraaf-artikel dat NGO Monitor noemt (verwezen in Kamerstuk),P0,trace_found,"Al als edge in v5: E040, E031. Tekstoverlap nog meten."
RE_NGO_JOODS,NGO_MONITOR,JOODS_NL,FRAME_SUPPLY,ELSC stelt dat Joods.nl NGO Monitor-claims over Al Mezan repliceerde,Transmissieroute Al Mezan via Joods.nl,CASE_ALMEZAN_2020,C9,media_sequence,"Joods.nl-artikel dat NGO Monitor citeert (ELSC-claim, nog niet geverifieerd)",P1,needs_source,Al als edge in v5: E072. Bron is ELSC-claim. Per artikel verifiëren.
RE_LIKOED_JONET,LIKOED_NL,JONET,MEDIA_AMPLIFICATION,Jonet bericht over Likoed-campagnes,Jonet is community-medium dat Likoed-activiteiten versterkt,CASE_SCHOOLBOOK_2019,C12,official_record,Jonet-artikel over Likoed (aanwezig),P2,trace_found,Al als edge in v5: E064
RE_IAF_SGP,IAF,SGP,PARLIAMENTARY_ACCESS,IAF heeft SGP-Kamerleden in parlementaire caucus,Structurele parlementaire toegang via SGP,CASE_IAF_CAUCUS_2013,,official_record,IAF-netwerkpagina + Jonet (aanwezig),P0,trace_found,"Al als edge in v5: E017, E015, E016. Stoffer is caucus-voorzitter."
RE_CVI_STOFFER,CVI,CHRIS_STOFFER,SPONSORED_TRAVEL,CVI sponsort Israël-reis voor Stoffer,Directe reisondersteuning aan parlementariër,CASE_IAF_CAUCUS_2013,,official_record,Reisregistratie TK (aanwezig),P0,trace_found,"Al als edge in v5: E028, E099, E102, E104"
RE_ELNET_STOFFER,ELNET,CHRIS_STOFFER,SPONSORED_TRAVEL,ELNET sponsort Israël-solidariteitsbezoek,ELNET financiert reis voor parlementariër,CASE_IAF_CAUCUS_2013,,official_record,Reisregistratie TK (aanwezig),P0,trace_found,"Al als edge in v5: E027, E098, E101, E103"
RE_CVI_MEDIA_WIERDDUK,CVI_MEDIA,WIERD_DUK,PLATFORMING,CVI geeft podium aan Telegraaf-commentator,Religieuze organisatie amplificeert journalist met specifiek frame,,C14,official_record,Podcast (aanwezig),P1,trace_found,"Al als edge in v5: E051, E100"
RE_NGO_MSA,NGO_MONITOR,MSA_ISRAEL,STATE_COORDINATION,NGO Monitor ontvangt mogelijk aansturing of financiering van Israëlische staatsactoren,NGO Monitor-directeur heeft MSA-achtergrond; inhoudelijke overlap met MSA-doelen,,C6,name_overlap,"Directe link: NGO Monitor funding van MSA, of personele overlap",P1,needs_source,MSA_ISRAEL is in actors.csv; NGO Monitor-directeur profiel checken
RE_IAF_ELNET_HUB,IAF,ELNET,STRATEGIC_PARTNERSHIP,IAF (parlementair netwerk) en ELNET (policy/reizen) vullen elkaar aan,Beide opereren inzelfde transnationale pro-Israël-ruimte,,,name_overlap,"Gedeelde events, deelnemers, bestuurders",P2,needs_source,TRF-rapport suggereert overlap; check IAF/ELNET evenementen
RE_TELEGRAAF_ALMEZAN,TELEGRAAF,AL_MEZAN,MEDIA_AMPLIFICATION,Telegraaf publiceert NGO Monitor-aantijgingen over Al Mezan,Media-amplificatie van terror-link claim,CASE_ALMEZAN_2020,C9,media_sequence,Telegraaf-artikel over Al Mezan (ELSC-claim),P1,needs_source,"Al als edge in v5: E073, E075. ELSC-claim; per artikel verifiëren."
RE_NRC_NGOMONITOR,NRC,NGO_MONITOR,COUNTER_DOCUMENTATION,NRC publiceert kritisch artikel over NGO Monitor,NRC-artikel leidt tot NGO Monitor-rebuttal; inhoudelijke betwisting,CASE_NGO_OXFAM_2026,C6,official_record,NRC-artikel (aanwezig via S_NGOMONITOR_RESPONSE_NRC_2026),P1,trace_found,NGO Monitor publiceerde rebuttal op NRC-artikel
RE_ELSC_OXFAM,ELSC,OXFAM_NOVIB,COUNTER_DOCUMENTATION,ELSC documenteert NGO Monitor-druk op Oxfam,ELSC-rapport is backbone voor Oxfam-case,CASE_NGO_OXFAM_2026,C8,official_record,ELSC-rapport (aanwezig),P1,trace_found,
RE_VVD_HU_PRESSURE,VVD,HU,PUBLIC_PRESSURE,VVD-leider Yesilgöz oefent publieke druk uit op HU na CIDI-klacht,Directe politieke druk op onderwijsinstelling,CASE_HU_CIDI_2024,C13,official_record,"Al als edge in v5: E047, E068",P1,trace_found,
RE_PVV_HU,PVV,HU,PUBLIC_PRESSURE,PVV-leider Wilders / fractie reageert op HU-case,PVV mogelijk betrokken bij politieke druk op HU,CASE_HU_CIDI_2024,C13,name_overlap,Check of PVV-Kamerlid reageerde op HU-case,P2,needs_source,Markuszower/Lammers zijn actief in NGO Monitor-dossier; check of ze ook HU-case oppakten
RE_CIDI_WILDERS,CIDI,PVV,POLITICAL_ALIGNMENT,CIDI-framing sluit aan bij PVV-standpunten over Israël,PVV gebruikt CIDI-achtige framing in Kamervragen,CASE_ALMEZAN_2020;CASE_NGO_OXFAM_2026,C8;C9,media_sequence,Check CIDI-communicatie voorafgaand aan PVV-Kamervragen,P2,needs_source,PVV-Kamerleden Markuszower en Lammers actief in NGO Monitor-dossier
RE_IAF_CU,IAF,CU,PARLIAMENTARY_ACCESS,"CU-Kamerleden (Voordewind, Ceder) betrokken bij IAF-caucus",CU historisch betrokken bij IAF/IIACF,CASE_IAF_CAUCUS_2013,,official_record,Al als edge in v5: E018,P2,trace_found,Voordewind was mede-oprichter; Ceder genoemd in TRF-rapport
RE_VVD_CIDI_DATA,VVD,CIDI,DATA_USE,VVD gebruikt CIDI-data over stemgedrag in debatten,CIDI levert Tweede Kamer-stemdata via NIW; VVD gebruikt dit,,,media_sequence,NIW-artikel met CIDI-data (aanwezig). Check VVD-gebruik in debatten.,P2,needs_source,"CIDI-data gepubliceerd in NIW, mogelijk gebruikt door VVD in Kamer"
RE_TRF_ELSC,TRF,ELSC,COUNTER_ADVOCACY_COALITION,TRF en ELSC delen counter-documentatie-doelen,Beide actoren documenteren pro-Israël lobby in NL,,,shared_source,Check of TRF ELSC citeert of vice versa,P2,needs_source,Beide counter-actors; mogelijk coördinatie of shared framing
RE_NGO_MONITOR_RIGHTSFORUM,NGO_MONITOR,TRF,DOSSIER_TARGETING,NGO Monitor heeft dossier over TRF,NGO Monitor profileert TRF als target,,C3,official_record,NGO Monitor website TRF-pagina (aanwezig via edge E067),P1,trace_found,Al als edge in v5: E067
RE_TELEGRAAF_WILDERS,TELEGRAAF,PVV,FRAME_ALIGNMENT,Telegraaf en PVV delen frame over NGO Monitor/Oxfam,PVV baseert Kamervragen op Telegraaf-artikel,CASE_NGO_OXFAM_2026;CASE_ALMEZAN_2020,C8;C9,official_record,Al als edge in v5: E076. PVV Kamervragen verwijzen naar Telegraaf.,P1,trace_found,PVV Kamervragen Al Mezan obv Telegraaf/Joods.nl (ELSC) + Oxfam obv Telegraaf/NGO Monitor (Kamerstuk)
RE_CIDI_NETWORK_GENERAL,CIDI,MEDIA_CLUSTER_NL,FRAME_AMPLIFICATION,"CIDI heeft structurele mediatoegang via NIW, Jonet, Telegraaf, NOS",CIDI meet 172 media-dagen in 2024; structurele media-aanwezigheid,,C1;C4,official_record,CIDI Activiteitenoverzicht (S_CIDI_ACTIVITY_2024),P1,trace_found,CIDI self-report. Structurele media-amplificatie.
